,Hour,Weekday,Is Working Day,Previous Hour price,SDSH DAP,SDSH load,load-1,load-2,load-3,load-4,load-5,price-1,price-2,price-3,price-4,price-5,target,Forward Curve
2021-01-01 05:00:00,6.0,6.0,0.0,1305.5233333333333,1530.1499999999999,5281.2,5214.2,5219.3,5378.5,5970.5,6139.1,1305.5233333333333,1306.3500000000001,1308.22,1597.99,1599.7533333333333,1304.0366666666666,
2021-01-01 06:00:00,7.0,6.0,0.0,1304.0366666666666,2460.479,4741.0,5281.2,5214.2,5219.3,5378.5,5970.5,1304.0366666666666,1305.5233333333333,1306.3500000000001,1308.22,1597.99,2457.9683333333332,
2021-01-01 07:00:00,8.0,6.0,0.0,2457.9683333333332,2522.639,4657.0,4741.0,5281.2,5214.2,5219.3,5378.5,2457.9683333333332,1304.0366666666666,1305.5233333333333,1306.3500000000001,1308.22,184.96333333333334,
2021-01-01 08:00:00,9.0,6.0,0.0,184.96333333333334,2599.523,4848.9,4657.0,4741.0,5281.2,5214.2,5219.3,184.96333333333334,2457.9683333333332,1304.0366666666666,1305.5233333333333,1306.3500000000001,2599.6583333333338,
2021-01-01 09:00:00,10.0,6.0,0.0,2599.6583333333338,2598.045,5097.5,4848.9,4657.0,4741.0,5281.2,5214.2,2599.6583333333338,184.96333333333334,2457.9683333333332,1304.0366666666666,1305.5233333333333,2597.3,
2021-01-01 10:00:00,11.0,6.0,0.0,2597.3,1022.0840000000001,5334.3,5097.5,4848.9,4657.0,4741.0,5281.2,2597.3,2599.6583333333338,184.96333333333334,2457.9683333333332,1304.0366666666666,3118.625,
2021-01-01 11:00:00,12.0,6.0,0.0,3118.625,1305.462,5578.4,5334.3,5097.5,4848.9,4657.0,4741.0,3118.625,2597.3,2599.6583333333338,184.96333333333334,2457.9683333333332,748.6733333333333,
2021-01-01 12:00:00,13.0,6.0,0.0,748.6733333333333,1304.1280000000002,5598.8,5578.4,5334.3,5097.5,4848.9,4657.0,748.6733333333333,3118.625,2597.3,2599.6583333333338,184.96333333333334,2531.666666666667,
2021-01-01 13:00:00,14.0,6.0,0.0,2531.666666666667,1306.9779999999998,5635.7,5598.8,5578.4,5334.3,5097.5,4848.9,2531.666666666667,748.6733333333333,3118.625,2597.3,2599.6583333333338,2540.825,
2021-01-01 14:00:00,15.0,6.0,0.0,2540.825,1320.44,5619.3,5635.7,5598.8,5578.4,5334.3,5097.5,2540.825,2531.666666666667,748.6733333333333,3118.625,2597.3,3277.5966666666664,
2021-01-01 15:00:00,16.0,6.0,0.0,3277.5966666666664,189.788,5227.1,5619.3,5635.7,5598.8,5578.4,5334.3,3277.5966666666664,2540.825,2531.666666666667,748.6733333333333,3118.625,186.99666666666667,
2021-01-01 16:00:00,17.0,6.0,0.0,186.99666666666667,193.57200000000003,5211.1,5227.1,5619.3,5635.7,5598.8,5578.4,186.99666666666667,3277.5966666666664,2540.825,2531.666666666667,748.6733333333333,190.89000000000001,
2021-01-01 17:00:00,18.0,6.0,0.0,190.89000000000001,1585.58,5757.2,5211.1,5227.1,5619.3,5635.7,5598.8,190.89000000000001,186.99666666666667,3277.5966666666664,2540.825,2531.666666666667,1552.17,
2021-01-01 18:00:00,19.0,6.0,0.0,1552.17,1425.4460000000001,5854.1,5757.2,5211.1,5227.1,5619.3,5635.7,1552.17,190.89000000000001,186.99666666666667,3277.5966666666664,2540.825,1596.0033333333333,
2021-01-01 19:00:00,20.0,6.0,0.0,1596.0033333333333,1339.782,5827.4,5854.1,5757.2,5211.1,5227.1,5619.3,1596.0033333333333,1552.17,190.89000000000001,186.99666666666667,3277.5966666666664,1594.8033333333333,
2021-01-01 20:00:00,21.0,6.0,0.0,1594.8033333333333,1542.858,5749.4,5827.4,5854.1,5757.2,5211.1,5227.1,1594.8033333333333,1596.0033333333333,1552.17,190.89000000000001,186.99666666666667,1596.9466666666667,
2021-01-01 21:00:00,22.0,6.0,0.0,1596.9466666666667,1310.2460000000003,5521.5,5749.4,5827.4,5854.1,5757.2,5211.1,1596.9466666666667,1594.8033333333333,1596.0033333333333,1552.17,190.89000000000001,1597.1466666666668,
2021-01-01 22:00:00,23.0,6.0,0.0,1597.1466666666668,1598.816,5493.1,5521.5,5749.4,5827.4,5854.1,5757.2,1597.1466666666668,1596.9466666666667,1594.8033333333333,1596.0033333333333,1552.17,1596.8400000000001,
2021-01-01 23:00:00,24.0,6.0,0.0,1596.8400000000001,1598.25,5425.3,5493.1,5521.5,5749.4,5827.4,5854.1,1596.8400000000001,1597.1466666666668,1596.9466666666667,1594.8033333333333,1596.0033333333333,1597.2733333333333,
2021-01-02 00:00:00,1.0,7.0,0.0,1597.2733333333333,1592.254,5270.8,5425.3,5493.1,5521.5,5749.4,5827.4,1597.2733333333333,1596.8400000000001,1597.1466666666668,1596.9466666666667,1594.8033333333333,1598.24,
2021-01-02 01:00:00,2.0,7.0,0.0,1598.24,1309.252,5096.1,5270.8,5425.3,5493.1,5521.5,5749.4,1598.24,1597.2733333333333,1596.8400000000001,1597.1466666666668,1596.9466666666667,1323.6366666666665,
2021-01-02 02:00:00,3.0,7.0,0.0,1323.6366666666665,1598.034,5101.2,5096.1,5270.8,5425.3,5493.1,5521.5,1323.6366666666665,1598.24,1597.2733333333333,1596.8400000000001,1597.1466666666668,1597.8533333333335,
2021-01-02 03:00:00,4.0,7.0,0.0,1597.8533333333335,1308.1779999999999,4997.3,5101.2,5096.1,5270.8,5425.3,5493.1,1597.8533333333335,1323.6366666666665,1598.24,1597.2733333333333,1596.8400000000001,1312.43,
2021-01-02 04:00:00,5.0,7.0,0.0,1312.43,1316.896,4987.7,4997.3,5101.2,5096.1,5270.8,5425.3,1312.43,1597.8533333333335,1323.6366666666665,1598.24,1597.2733333333333,1886.07,
2021-01-02 05:00:00,6.0,7.0,0.0,1886.07,1591.56,5217.2,4987.7,4997.3,5101.2,5096.1,5270.8,1886.07,1312.43,1597.8533333333335,1323.6366666666665,1598.24,1921.256666666667,
2021-01-02 06:00:00,7.0,7.0,0.0,1921.256666666667,1598.284,5315.0,5217.2,4987.7,4997.3,5101.2,5096.1,1921.256666666667,1886.07,1312.43,1597.8533333333335,1323.6366666666665,1331.7933333333333,
2021-01-02 07:00:00,8.0,7.0,0.0,1331.7933333333333,1597.132,5654.4,5315.0,5217.2,4987.7,4997.3,5101.2,1331.7933333333333,1921.256666666667,1886.07,1312.43,1597.8533333333335,186.16,
2021-01-02 08:00:00,9.0,7.0,0.0,186.16,1951.1240000000003,6239.1,5654.4,5315.0,5217.2,4987.7,4997.3,186.16,1331.7933333333333,1921.256666666667,1886.07,1312.43,189.51999999999998,
2021-01-02 09:00:00,10.0,7.0,0.0,189.51999999999998,2097.322,6708.4,6239.1,5654.4,5315.0,5217.2,4987.7,189.51999999999998,186.16,1331.7933333333333,1921.256666666667,1886.07,1324.6033333333332,
2021-01-02 10:00:00,11.0,7.0,0.0,1324.6033333333332,1597.7040000000002,6326.3,6708.4,6239.1,5654.4,5315.0,5217.2,1324.6033333333332,189.51999999999998,186.16,1331.7933333333333,1921.256666666667,1600.21,
2021-01-02 11:00:00,12.0,7.0,0.0,1600.21,1340.5580000000002,6349.8,6326.3,6708.4,6239.1,5654.4,5315.0,1600.21,1324.6033333333332,189.51999999999998,186.16,1331.7933333333333,1597.6633333333332,
2021-01-02 12:00:00,13.0,7.0,0.0,1597.6633333333332,1337.716,6330.8,6349.8,6326.3,6708.4,6239.1,5654.4,1597.6633333333332,1600.21,1324.6033333333332,189.51999999999998,186.16,1598.2633333333333,
2021-01-02 13:00:00,14.0,7.0,0.0,1598.2633333333333,1424.732,6403.3,6330.8,6349.8,6326.3,6708.4,6239.1,1598.2633333333333,1597.6633333333332,1600.21,1324.6033333333332,189.51999999999998,1599.3133333333335,
2021-01-02 14:00:00,15.0,7.0,0.0,1599.3133333333335,1547.228,6293.5,6403.3,6330.8,6349.8,6326.3,6708.4,1599.3133333333335,1598.2633333333333,1597.6633333333332,1600.21,1324.6033333333332,1597.5600000000002,
2021-01-02 15:00:00,16.0,7.0,0.0,1597.5600000000002,1598.3319999999999,6175.4,6293.5,6403.3,6330.8,6349.8,6326.3,1597.5600000000002,1599.3133333333335,1598.2633333333333,1597.6633333333332,1600.21,1596.8433333333335,
2021-01-02 16:00:00,17.0,7.0,0.0,1596.8433333333335,1589.994,6155.4,6175.4,6293.5,6403.3,6330.8,6349.8,1596.8433333333335,1597.5600000000002,1599.3133333333335,1598.2633333333333,1597.6633333333332,1596.8633333333335,
2021-01-02 17:00:00,18.0,7.0,0.0,1596.8633333333335,1721.8939999999998,6660.6,6155.4,6175.4,6293.5,6403.3,6330.8,1596.8633333333335,1596.8433333333335,1597.5600000000002,1599.3133333333335,1598.2633333333333,2237.016666666667,
2021-01-02 18:00:00,19.0,7.0,0.0,2237.016666666667,1597.7600000000002,6269.0,6660.6,6155.4,6175.4,6293.5,6403.3,2237.016666666667,1596.8633333333335,1596.8433333333335,1597.5600000000002,1599.3133333333335,2247.316666666667,
2021-01-02 19:00:00,20.0,7.0,0.0,2247.316666666667,1475.3,6148.8,6269.0,6660.6,6155.4,6175.4,6293.5,2247.316666666667,2237.016666666667,1596.8633333333335,1596.8433333333335,1597.5600000000002,2247.61,
2021-01-02 20:00:00,21.0,7.0,0.0,2247.61,1588.428,6010.7,6148.8,6269.0,6660.6,6155.4,6175.4,2247.61,2247.316666666667,2237.016666666667,1596.8633333333335,1596.8433333333335,2249.7366666666667,
