"Date","Value","Publish Date"
"2021-05-04 07:00:00","10436.7","2021-05-04 07:10:04"
"2021-05-04 07:05:00","10393.1","2021-05-04 07:10:04"
"2021-05-04 07:10:00","10477.2","2021-05-04 07:20:05"
"2021-05-04 07:15:00","10498.8","2021-05-04 07:20:05"
"2021-05-04 07:20:00","10569.3","2021-05-04 07:30:07"
"2021-05-04 07:25:00","10621.7","2021-05-04 07:30:07"
"2021-05-04 07:30:00","10687.5","2021-05-04 07:40:05"
"2021-05-04 07:35:00","10687.5","2021-05-04 07:40:05"
"2021-05-04 07:40:00","10849.1","2021-05-04 07:50:04"
"2021-05-04 07:45:00","10804.1","2021-05-04 07:55:03"
"2021-05-04 07:50:00","10804.1","2021-05-04 08:00:04"
"2021-05-04 07:55:00","10896.7","2021-05-04 08:00:04"
"2021-05-04 08:00:00","10888.1","2021-05-04 08:05:02"
"2021-05-04 08:05:00","10989.5","2021-05-04 08:10:05"
"2021-05-04 08:10:00","11044.1","2021-05-04 08:15:05"
"2021-05-04 08:15:00","11102.7","2021-05-04 08:20:02"
"2021-05-04 08:20:00","11083.3","2021-05-04 08:25:02"
"2021-05-04 08:25:00","11185.6","2021-05-04 08:30:04"
"2021-05-04 08:30:00","11198.4","2021-05-04 08:35:04"
"2021-05-04 08:35:00","11277","2021-05-04 08:40:05"
"2021-05-04 08:40:00","11406.1","2021-05-04 08:45:04"
"2021-05-04 08:45:00","11482.2","2021-05-04 08:50:05"
"2021-05-04 08:50:00","11534.4","2021-05-04 08:55:04"
"2021-05-04 08:55:00","11577.7","2021-05-04 09:00:06"
"2021-05-04 09:00:00","11637.6","2021-05-04 09:05:06"
"2021-05-04 09:05:00","11587.4","2021-05-04 09:10:05"
"2021-05-04 09:10:00","11638.8","2021-05-04 09:15:04"
"2021-05-04 09:15:00","11770.5","2021-05-04 09:20:06"
"2021-05-04 09:20:00","11811","2021-05-04 09:25:04"
"2021-05-04 09:25:00","11642.8","2021-05-04 09:30:09"
"2021-05-04 09:30:00","11697.8","2021-05-04 09:35:06"
"2021-05-04 09:35:00","11745.3","2021-05-04 09:45:03"
"2021-05-04 09:40:00","11888.1","2021-05-04 09:50:07"
"2021-05-04 09:45:00","11964.6","2021-05-04 09:50:07"
"2021-05-04 09:50:00","11964.6","2021-05-04 09:55:05"
"2021-05-04 09:55:00","12126.3","2021-05-04 10:00:11"
"2021-05-04 10:00:00","12126.3","2021-05-04 10:05:04"
"2021-05-04 10:05:00","12215","2021-05-04 10:15:09"
"2021-05-04 10:10:00","12104.7","2021-05-04 10:15:09"
"2021-05-04 10:15:00","12383.5","2021-05-04 10:20:06"
"2021-05-04 10:20:00","12467.7","2021-05-04 10:30:07"
"2021-05-04 10:25:00","12500.3","2021-05-04 10:35:04"
"2021-05-04 10:30:00","12553.6","2021-05-04 10:40:05"
"2021-05-04 10:35:00","12608.1","2021-05-04 10:45:05"
"2021-05-04 10:40:00","12448.5","2021-05-04 10:50:05"
"2021-05-04 10:45:00","12448.5","2021-05-04 10:55:04"
"2021-05-04 10:50:00","12789.2","2021-05-04 11:00:09"
"2021-05-04 10:55:00","12873.1","2021-05-04 11:05:06"
"2021-05-04 11:00:00","12873.1","2021-05-04 11:10:05"
"2021-05-04 11:05:00","12876.9","2021-05-04 11:15:03"
"2021-05-04 11:10:00","12996.3","2021-05-04 11:20:07"
"2021-05-04 11:15:00","12982.9","2021-05-04 11:25:02"
"2021-05-04 11:20:00","12960.7","2021-05-04 11:30:07"
"2021-05-04 11:25:00","13153.7","2021-05-04 11:35:04"
"2021-05-04 11:30:00","13282.3","2021-05-04 11:40:05"
"2021-05-04 11:35:00","13362.8","2021-05-04 11:45:02"
"2021-05-04 11:40:00","13401.8","2021-05-04 11:50:06"
"2021-05-04 11:45:00","13401.8","2021-05-04 11:55:06"
"2021-05-04 11:50:00","13430.6","2021-05-04 12:00:08"
"2021-05-04 11:55:00","13457.1","2021-05-04 12:05:04"
"2021-05-04 12:00:00","13495.5","2021-05-04 12:10:04"
"2021-05-04 12:05:00","13602.6","2021-05-04 12:15:05"
"2021-05-04 12:10:00","13636.8","2021-05-04 12:20:02"
"2021-05-04 12:15:00","13843.7","2021-05-04 12:25:03"
"2021-05-04 12:20:00","13902","2021-05-04 12:30:07"
"2021-05-04 12:25:00","14006.8","2021-05-04 12:35:04"
"2021-05-04 12:30:00","14056.8","2021-05-04 12:40:05"
"2021-05-04 12:35:00","14073.7","2021-05-04 12:45:02"
"2021-05-04 12:40:00","14040.6","2021-05-04 12:50:02"
"2021-05-04 12:45:00","14091.1","2021-05-04 12:55:05"
"2021-05-04 12:50:00","14136.7","2021-05-04 13:00:05"
"2021-05-04 12:55:00","14081.2","2021-05-04 13:05:04"
"2021-05-04 13:00:00","14156.6","2021-05-04 13:10:06"
"2021-05-04 13:05:00","14308.1","2021-05-04 13:15:05"
"2021-05-04 13:10:00","14350.6","2021-05-04 13:20:05"
"2021-05-04 13:15:00","14376.4","2021-05-04 13:25:02"
"2021-05-04 13:20:00","14428","2021-05-04 13:30:06"
"2021-05-04 13:25:00","14466.7","2021-05-04 13:30:06"
"2021-05-04 13:30:00","14530.4","2021-05-04 13:40:05"
"2021-05-04 13:35:00","14570.4","2021-05-04 13:45:04"
"2021-05-04 13:40:00","14652.5","2021-05-04 13:50:04"
"2021-05-04 13:45:00","14722.8","2021-05-04 13:55:05"
"2021-05-04 13:50:00","14675.9","2021-05-04 13:55:05"
"2021-05-04 13:55:00","14689.1","2021-05-04 14:05:03"
"2021-05-04 14:00:00","14805.8","2021-05-04 14:10:05"
"2021-05-04 14:05:00","14803.6","2021-05-04 14:10:05"
"2021-05-04 14:10:00","14869.2","2021-05-04 14:20:03"
"2021-05-04 14:15:00","14824.1","2021-05-04 14:25:04"
"2021-05-04 14:20:00","14929.9","2021-05-04 14:30:04"
"2021-05-04 14:25:00","15008.1","2021-05-04 14:35:06"
"2021-05-04 14:30:00","14994.8","2021-05-04 14:40:07"
"2021-05-04 14:35:00","15211.9","2021-05-04 14:45:01"
"2021-05-04 14:40:00","15146.9","2021-05-04 14:50:05"
"2021-05-04 14:45:00","15305.1","2021-05-04 14:55:05"
"2021-05-04 14:50:00","15366.7","2021-05-04 15:00:04"
"2021-05-04 14:55:00","15329.5","2021-05-04 15:05:05"
"2021-05-04 15:00:00","15274.5","2021-05-04 15:10:04"
"2021-05-04 15:05:00","15274.5","2021-05-04 15:15:04"
"2021-05-04 15:10:00","15282.1","2021-05-04 15:20:04"
"2021-05-04 15:15:00","15263.1","2021-05-04 15:25:04"
"2021-05-04 15:20:00","15188.6","2021-05-04 15:30:04"
"2021-05-04 15:25:00","15338.5","2021-05-04 15:35:06"
"2021-05-04 15:30:00","15377","2021-05-04 15:40:06"
"2021-05-04 15:35:00","15343.7","2021-05-04 15:45:06"
"2021-05-04 15:40:00","15354.6","2021-05-04 15:50:06"
"2021-05-04 15:45:00","15336.2","2021-05-04 15:55:05"
"2021-05-04 15:50:00","15276.9","2021-05-04 16:00:04"
"2021-05-04 15:55:00","15251.2","2021-05-04 16:05:03"
"2021-05-04 16:00:00","15284.3","2021-05-04 16:10:03"
"2021-05-04 16:05:00","15161.8","2021-05-04 16:15:03"
"2021-05-04 16:10:00","15257.7","2021-05-04 16:20:05"
"2021-05-04 16:15:00","15245","2021-05-04 16:25:03"
