,dap,target,error,class
48,78285,77709.733,-575.2670000000071,1
49,76446,75933.578,-512.4220000000059,1
50,75907,75055.465,-851.5350000000035,1
51,75885,75033.221,-851.778999999995,1
52,77660,76737.925,-922.0749999999971,1
53,81877,80833.683,-1043.3169999999955,1
54,88500,87657.193,-842.8070000000007,1
55,93271,93072.104,-198.89599999999336,1
56,95315,94890.597,-424.4030000000057,1
57,95243,94732.309,-510.69100000000617,1
58,94097,93651.821,-445.1790000000037,1
59,92721,92009.539,-711.4609999999957,1
60,90992,90471.232,-520.7679999999964,1
61,89203,88746.861,-456.1389999999956,1
62,87931,87482.428,-448.5720000000001,1
63,86621,86221.92,-399.08000000000175,1
64,86686,86099.835,-586.1649999999936,1
65,87807,86432.446,-1374.5540000000037,1
66,89605,87306.154,-2298.846000000005,0
67,89641,89063.677,-577.323000000004,1
68,89516,89196.813,-319.18700000000536,1
69,87094,86236.607,-857.3929999999964,1
70,82445,82006.153,-438.8469999999943,1
71,78109,77664.279,-444.721000000005,1
72,74722,74207.7,-514.3000000000029,1
73,72617,72266.184,-350.81600000000617,1
74,71858,71322.331,-535.6689999999944,1
75,71745,71159.49,-585.5099999999948,1
76,73112,72541.681,-570.3190000000031,1
77,77176,76338.208,-837.7920000000013,1
78,83061,82990.876,-70.12399999999616,1
79,89038,88720.415,-317.5850000000064,1
80,91612,91120.787,-491.2130000000034,1
81,92195,92265.971,70.971000000005,1
82,93533,93247.206,-285.7939999999944,1
83,93911,93445.173,-465.8270000000048,1
84,93525,93013.942,-511.05800000000454,1
85,92633,92236.773,-396.22699999999895,1
86,91359,90962.481,-396.51900000000023,1
87,90229,89767.706,-461.2939999999944,1
88,89835,89394.781,-440.2189999999973,1
89,90814,90074.979,-739.0209999999934,1
90,90744,90244.265,-499.7350000000006,1
91,92196,91349.905,-846.0950000000012,1
92,91246,91053.728,-192.2719999999972,1
93,89004,88448.929,-555.0709999999963,1
94,84125,84285.364,160.3640000000014,1
95,79944,79987.126,43.12600000000384,1
96,75654,76931.004,1277.0040000000008,2
97,75721,75362.828,-358.17200000000594,1
98,75512,74865.6,-646.3999999999942,1
99,75925,75156.605,-768.3950000000041,1
100,77809,77193.397,-615.6030000000028,1
101,82391,81828.251,-562.7489999999962,1
102,89567,89436.219,-130.78100000000268,1
103,96060,95298.51,-761.4900000000052,1
104,98175,97269.593,-905.4070000000065,1
105,97672,96726.154,-945.846000000005,1
106,95748,94955.838,-792.1619999999966,1
107,94301,93212.498,-1088.5019999999931,1
108,91456,90868.705,-587.2949999999983,1
109,89521,88805.569,-715.4309999999969,1
110,87117,86238.185,-878.8150000000023,1
111,84814,84039.963,-774.0369999999966,1
112,83365,82842.744,-522.255999999994,1
113,83628,83174.418,-453.5819999999949,1
114,87333,84865.91,-2467.0899999999965,0
115,88619,88234.144,-384.85599999999977,1
116,91531,90778.888,-752.1119999999937,1
117,89592,89958.169,366.1689999999944,1
118,88195,87341.194,-853.8059999999969,1
119,84968,84195.562,-772.4379999999946,1
120,82334,81631.571,-702.4290000000037,1
121,80913,80273.805,-639.195000000007,1
122,80507,79937.674,-569.3260000000009,1
123,80816,80234.961,-581.0390000000043,1
124,81664,81358.746,-305.2540000000008,1
125,84352,83601.565,-750.4349999999977,1
126,87791,87210.948,-580.051999999996,1
127,91082,90531.694,-550.3059999999969,1
128,92159,90832.471,-1326.528999999995,1
129,87967,88132.004,165.00400000000081,1
130,85513,84694.738,-818.2620000000024,1
131,82294,81331.818,-962.1820000000007,1
132,78946,78277.099,-668.900999999998,1
133,76127,75420.95,-706.0500000000029,1
134,73985,73075.553,-909.4470000000001,1
135,72428,71787.555,-640.445000000007,1
136,72588,71758.045,-829.9550000000017,1
137,73616,73110.022,-505.9780000000028,1
138,75412,74820.634,-591.3659999999945,1
139,78681,78071.239,-609.7609999999986,1
140,82671,80880.74,-1790.2599999999948,0
141,81269,80348.55,-920.4499999999971,1
142,79463,78653.64,-809.3600000000006,1
143,77261,76316.677,-944.323000000004,1
