,dap,target,class,
199,40.038923,22.532224,1,","
200,32.895668,22.564676,1,","
201,29.322785,25.727057,1,","
202,27.607345,26.875107,1,","
203,26.071216,20.133531,1,","
204,24.15749,19.941937,1,","
205,23.396988,19.345625,1,","
206,22.232304,19.777973,1,","
207,21.705575,19.63163,1,","
208,21.938679,19.894806,1,","
209,22.372559,21.088193,1,","
210,24.102955,21.130734,1,","
211,32.630112,26.022728,1,","
212,32.579567,26.690474,1,","
213,23.746761,21.510778,1,","
214,20.730394,23.819058,1,","
215,18.559697,16.002346,1,","
216,17.576664,15.839518,1,","
217,16.450546,15.481061,1,","
218,16.214566,15.762866,1,","
219,16.006529,15.850077,1,","
220,17.149045,18.075456,1,","
221,21.093249,18.751057,1,","
222,32.050448,22.382748,1,","
223,33.234061,24.601757,1,","
224,31.072024,20.070733,1,","
225,31.065516,19.244277,1,","
226,31.003879,20.051984,1,","
227,29.65568,23.401549,1,","
228,28.28912,28.437645,1,","
229,26.5238,24.116145,1,","
230,25.6728,21.461655,1,","
231,24.766098,23.46338,1,","
232,24.541362,29.201232,1,","
233,25.490888,21.197844,1,","
234,27.763473,23.242479,1,","
235,34.488178,25.04634,1,","
236,32.465294,24.724044,1,","
237,26.179211,21.7472,1,","
238,22.611,22.237412,1,","
239,19.960189,18.279266,1,","
240,18.40539,17.705145,1,","
241,18.466867,18.967126,1,","
242,17.995946,16.27789,1,","
243,17.593509,19.140551,1,","
244,18.676087,19.163925,1,","
245,21.828042,19.984143,1,","
246,34.081419,25.79789,1,","
247,36.270397,27.562771,1,","
248,29.493499,20.405457,1,","
249,30.334601,26.023933,1,","
250,28.773967,24.162286,1,","
251,28.27307,28.254331,1,","
252,27.435332,29.153017,1,","
253,26.446866,33.598948,1,","
254,25.835992,34.105547,1,","
255,24.24556,22.547236,1,","
256,23.794994,21.163675,1,","
257,24.478414,20.943728,1,","
258,29.053711,19.028977,1,","
259,33.663272,22.769034,1,","
260,33.60206,22.726753,1,","
261,27.294068,19.569397,1,","
262,20.730631,18.714803,1,","
263,19.167123,18.776001,1,","
264,16.769657,15.279775,1,","
265,16.081554,17.796215,1,","
266,15.716026,15.43793,1,","
267,15.593199,15.425623,1,","
268,16.168568,16.469494,1,","
269,20.300958,19.031741,1,","
270,29.14735,20.227029,1,","
271,33.987646,30.231093,1,","
272,27.488464,21.067295,1,","
273,28.001827,23.994311,1,","
274,28.996409,58.10393,2,","
275,28.858808,114.784164,2,","
276,27.579385,20.516138,1,","
277,27.499388,32.319471,1,","
278,26.958816,23.650943,1,","
279,25.856895,27.910035,1,","
280,26.422502,27.646085,1,","
281,26.700572,22.407796,1,","
282,32.462038,27.044008,1,","
283,37.313238,22.416134,1,","
284,36.556744,134.808369,2,","
285,26.347573,34.113205,1,","
286,22.189186,47.717388,1,","
287,20.067536,22.19173,1,","
288,19.600257,18.249968,1,","
289,19.216939,25.075478,1,","
290,18.901011,18.651617,1,","
291,18.656098,21.150282,1,","
292,18.707065,19.911163,1,","
293,19.43892,20.145308,1,","
294,22.253061,28.200979,1,","
295,24.739131,19.573009,1,","
296,23.227803,19.407415,1,","
297,23.556999,19.060756,1,","
298,23.142102,17.275394,1,","
299,21.991094,18.735964,1,","
300,21.224204,18.362983,1,","
301,20.454711,18.365658,1,","
302,20.04549,17.094016,1,","
303,20.259277,19.643774,1,","
304,21.227323,54.57515,1,","
305,22.13112,34.68583,1,","
306,24.77795,18.489388,1,","
307,33.176138,21.576973,1,","
308,30.298897,55.203784,1,","
309,23.784443,22.224149,1,","
310,20.341416,23.951468,1,","
311,18.663032,28.409673,1,","
312,18.406838,18.018312,1,","
313,18.445622,15.178333,1,","
314,17.622892,13.41886,1,","
315,17.073225,15.066722,1,","
316,17.257241,14.02203,1,","
317,17.304662,13.979993,1,","
318,19.787474,13.457102,1,","
319,21.296045,12.416193,1,","
320,22.198238,13.728153,1,","
321,22.548918,30.260556,1,","
322,24.672056,18.309799,1,","
323,24.2313,20.458083,1,","
324,22.439781,18.500401,1,","
325,21.489832,18.767741,1,","
326,21.38603,19.207595,1,","
327,21.247967,18.021803,1,","
328,22.059668,18.53024,1,","
329,23.175633,21.440449,1,","
330,26.624844,19.392412,1,","
331,36.142378,19.548733,1,","
332,38.95085,42.300958,1,","
333,31.465901,23.560819,1,","
334,24.762316,20.550747,1,","
335,21.915283,20.106411,1,","
336,19.370143,20.023411,1,","
337,19.29217,17.764286,1,","
338,18.967161,18.404378,1,","
339,19.290998,18.90346,1,","
340,19.887569,18.250876,1,","
341,25.231877,18.453186,1,","
342,41.865238,26.886725,1,","
343,48.361923,27.257241,1,","
344,35.388114,19.951817,1,","
345,32.605378,23.758001,1,","
346,31.115446,20.61698,1,","
347,26.714632,17.331394,1,","
348,23.923157,17.49263,1,","
349,22.015009,17.145431,1,","
350,21.637672,15.906657,1,","
351,20.721957,15.316115,1,","
352,21.002055,14.584847,1,","
353,22.02536,14.977527,1,","
354,27.725217,16.109363,1,","
355,41.262221,24.582122,1,","
356,36.926673,21.619568,1,","
357,29.129511,18.567416,1,","
358,21.883811,15.96611,1,","
359,19.542122,15.545207,1,","
360,18.577292,14.874013,1,","
361,17.575404,15.734877,1,","
362,17.108266,15.205934,1,","
363,17.392157,15.913937,1,","
364,18.658368,15.639794,1,","
365,24.541652,16.936069,1,","
366,37.787262,31.004058,1,","
367,41.163322,27.562702,1,","
368,28.663935,17.385531,1,","
369,23.830027,17.701353,1,","
370,22.704234,16.894604,1,","
371,22.654259,15.822917,1,","
372,21.390568,17.278491,1,","
373,20.80019,17.373009,1,","
374,20.700483,15.85789,1,","
375,20.314067,15.446032,1,","
376,20.484801,16.652981,1,","
377,21.687987,18.145883,1,","
378,24.094944,18.279876,1,","
379,34.087064,19.636987,1,","
380,33.511965,20.908475,1,","
381,24.365778,18.60368,1,","
382,20.884908,16.497544,1,","
383,18.876709,14.567222,1,","
384,15.831686,14.1267,1,","
385,15.697121,13.524285,1,","
386,15.440769,12.878075,1,","
387,15.406756,11.87684,1,","
388,16.241852,13.393653,1,","
389,19.067494,18.555052,1,","
390,25.467925,16.226255,1,","
391,27.504897,19.387146,1,","
392,26.588918,20.006395,1,","
393,27.224841,18.486159,1,","
394,27.531972,19.440469,1,","
395,26.743239,18.01759,1,","
396,24.741491,19.576515,1,","
397,24.51456,20.216699,1,","
398,22.739219,19.115917,1,","
399,21.867883,18.318588,1,","
400,22.611704,19.552364,1,","
401,22.795341,20.942144,1,","
402,24.502433,19.763823,1,","
403,29.559321,18.553515,1,","
404,28.605441,20.180843,1,","
405,24.046299,18.931696,1,","
406,20.301477,19.618078,1,","
407,18.274333,17.133717,1,","
408,18.237383,16.098043,1,","
409,17.96083,16.54051,1,","
410,16.948939,15.98449,1,","
411,17.786364,16.279652,1,","
412,18.837155,18.523004,1,","
413,20.608706,20.970568,1,","
414,30.568393,20.945015,1,","
415,35.980349,26.688807,1,","
416,33.396799,23.656911,1,","
417,30.513149,21.225925,1,","
418,30.004678,22.901732,1,","
419,28.491592,22.477598,1,","
420,26.416992,21.717305,1,","
421,24.714927,22.415507,1,","
422,23.376925,21.854732,1,","
423,22.997588,22.50423,1,","
424,23.124119,25.150596,1,","
425,24.307441,22.703768,1,","
426,25.645102,21.497215,1,","
427,32.066456,35.335376,1,","
428,40.024908,60.951715,2,","
429,31.211977,29.991238,1,","
430,25.763688,23.755448,1,","
431,23.405883,23.227653,1,","
432,23.154634,18.965493,1,","
433,22.585769,20.99213,1,","
434,22.605871,20.301952,1,","
435,23.010483,26.933011,1,","
436,23.857813,20.583751,1,","
437,28.511801,22.761424,1,","
438,39.329039,24.164371,1,","
439,58.048813,26.520757,1,","
440,43.288811,22.604207,1,","
441,34.826912,24.075066,1,","
442,29.743946,22.082283,1,","
443,27.110239,19.445173,1,","
444,25.006243,19.551297,1,","
445,23.195385,18.679841,1,","
446,21.76354,17.740617,1,","
447,21.421963,16.155353,1,","
448,21.510447,16.050939,1,","
449,21.828577,16.306639,1,","
450,23.800658,16.653453,1,","
451,28.470732,18.934523,1,","
452,29.652589,25.352771,1,","
453,24.999239,19.164164,1,","
454,23.595553,25.666278,1,","
455,20.775224,19.135596,1,","
456,22.747036,20.812823,1,","
457,22.688559,24.766745,1,","
458,21.331603,20.178221,1,","
459,22.454772,26.773651,1,","
460,22.436523,24.633027,1,","
461,23.699019,20.689425,1,","
462,25.343376,24.155717,1,","
463,31.44115,21.23221,1,","
464,27.13058,18.888996,1,","
465,25.376089,19.355812,1,","
466,22.734333,20.036127,1,","
467,21.541549,18.224003,1,","
468,20.63588,17.916206,1,","
469,19.309721,16.421702,1,","
470,18.027937,15.756941,1,","
471,17.481178,15.368855,1,","
472,18.439118,15.427183,1,","
473,19.214908,15.994326,1,","
474,20.059,18.588905,1,","
475,24.742713,34.574496,1,","
476,27.563332,21.636147,1,","
477,23.778435,22.33354,1,","
478,21.653177,20.041237,1,","
479,20.757319,18.898092,1,","
480,20.270829,16.165191,1,","
481,19.964459,17.095888,1,","
482,18.683775,16.860023,1,","
483,18.353429,16.685605,1,","
484,19.004219,18.500866,1,","
485,20.292213,19.781306,1,","
486,21.346318,21.286653,1,","
487,23.000156,23.386098,1,","
488,22.851889,21.123787,1,","
489,22.581892,19.940085,1,","
490,21.547634,18.766668,1,","
491,19.860323,18.655814,1,","
492,18.623146,17.998815,1,","
493,17.856869,16.794496,1,","
494,17.507625,16.169969,1,","
495,17.10108,15.347537,1,","
496,17.498152,15.732929,1,","
497,17.633661,17.371319,1,","
498,18.967529,19.392169,1,","
499,21.82804,19.319169,1,","
500,24.947032,22.321658,1,","
501,21.018138,19.310275,1,","
502,18.695616,18.188291,1,","
503,17.11594,16.624559,1,","
504,16.764059,15.877144,1,","
505,16.834515,15.316246,1,","
506,16.107895,15.510768,1,","
507,16.458634,16.698529,1,","
508,16.914606,18.097434,1,","
509,20.258886,27.613375,1,","
510,25.654671,23.655032,1,","
511,29.61889,21.910718,1,","
512,28.631372,20.681706,1,","
513,28.753099,25.564757,1,","
514,29.12828,63.347869,2,","
515,29.203314,24.001154,1,","
516,26.648896,21.043137,1,","
517,24.190665,21.497347,1,","
518,24.297995,21.147238,1,","
519,23.391367,21.78697,1,","
520,23.747324,22.182579,1,","
521,24.581694,26.374649,1,","
522,26.035598,24.556672,1,","
523,30.410297,24.117545,1,","
524,33.61308,29.042698,1,","
525,25.572356,25.347189,1,","
526,21.255545,18.413042,1,","
527,18.734532,17.498192,1,","
528,16.773474,16.630952,1,","
529,16.226093,16.519232,1,","
530,15.707813,16.457885,1,","
531,15.457517,16.266554,1,","
532,16.228531,16.846607,1,","
533,18.280436,17.833717,1,","
534,23.178187,18.713422,1,","
535,25.549849,21.137298,1,","
536,25.211642,19.075743,1,","
537,25.568423,21.788266,1,","
538,25.673965,22.400805,1,","
539,25.782064,53.757634,1,","
540,26.645378,85.709749,2,","
541,26.219295,42.422702,1,","
542,25.974683,46.786031,1,","
543,26.219631,58.297131,2,","
544,29.387664,67.457064,2,","
545,30.352641,22.455257,1,","
546,29.930744,22.723129,1,","
547,35.859752,51.963738,1,","
548,39.212762,29.440996,1,","
549,27.640563,23.542009,1,","
550,21.286271,20.39127,1,","
551,18.282178,18.219944,1,","
552,16.27004,16.562794,1,","
553,15.67555,16.404495,1,","
554,14.767456,15.966709,1,","
555,14.714291,15.434917,1,","
556,15.191855,16.068367,1,","
557,17.668423,19.092671,1,","
558,21.155619,20.535336,1,","
559,23.705016,19.358512,1,","
560,24.457393,19.991529,1,","
561,25.384848,20.380083,1,","
562,26.141494,20.371056,1,","
563,26.806425,21.29345,1,","
564,28.815758,22.209671,1,","
565,31.640717,23.339555,1,","
566,31.912758,24.334957,1,","
567,34.765585,35.447547,1,","
568,38.356528,22.585103,1,","
569,38.638516,21.682353,1,","
570,35.812915,22.471998,1,","
571,40.239778,22.177445,1,","
572,41.583991,24.442114,1,","
573,27.911659,21.562683,1,","
574,22.377584,19.201558,1,","
575,18.452825,17.885674,1,","
576,17.769004,18.819533,1,","
577,16.648665,18.21575,1,","
578,16.130126,16.808526,1,","
579,15.959609,15.864126,1,","
580,16.263705,16.400019,1,","
581,19.123151,18.522446,1,","
582,22.862744,19.733162,1,","
583,24.765785,19.336858,1,","
584,24.182774,20.335054,1,","
585,25.264123,19.627001,1,","
586,26.906175,21.337545,1,","
587,28.190129,20.585026,1,","
588,28.978834,21.933248,1,","
589,27.541169,21.987339,1,","
590,26.834638,22.096664,1,","
591,26.488554,21.861518,1,","
592,26.604492,19.032978,1,","
