,dap,target,error,class
0,25.396028,18.22055,-7.175478000000002,1
1,29.146035,18.150497,-10.995538,1
2,30.303158,17.650599,-12.652559,1
3,31.039465,17.129129,-13.910336000000001,1
4,34.175313,16.9967,-17.178613000000002,1
5,47.338929,17.569721,-29.769208,2
6,69.517157,30.723276,-38.793881,2
7,78.585374,42.987914,-35.59746,2
8,44.161676,26.692221,-17.469455,1
9,33.884602,24.06303,-9.821572,1
10,33.051763,23.554694,-9.497069,1
11,28.039902,23.735153,-4.304749000000001,1
12,26.442201,23.200454,-3.241747,1
13,25.133033,22.522769,-2.610264000000001,1
14,24.206087,21.228278,-2.9778090000000006,1
15,23.50383,22.1948,-1.30903,1
16,24.40195,42.95782,18.55587,1
17,27.690281,27.583413,-0.10686799999999863,1
18,34.894671,31.69909,-3.1955810000000007,1
19,49.604676,30.290526,-19.314149999999998,2
20,45.830417,31.836412,-13.994004999999998,1
21,38.515614,30.265174,-8.250440000000001,1
22,33.206899,26.041388,-7.165510999999999,1
23,27.847963,24.423812,-3.4241509999999984,1
24,26.810944,24.192243,-2.618700999999998,1
25,24.720858,26.145299,1.4244410000000016,1
26,25.747283,22.784562,-2.9627209999999984,1
27,26.77807,25.337027,-1.4410430000000005,1
28,29.446925,22.815791,-6.631133999999999,1
29,35.001066,19.779309,-15.221757,1
30,54.525098,24.902511,-29.622587,2
31,58.065887,30.805917,-27.259969999999996,2
32,49.422952,43.333562,-6.089390000000002,2
33,42.061591,44.757799,2.6962079999999986,1
34,38.424156,28.523212,-9.900944000000003,1
35,35.10134,49.769661,14.668320999999999,1
36,31.826606,25.50685,-6.319756000000002,1
37,30.076477,29.089903,-0.986574000000001,1
38,29.241246,25.558977,-3.6822690000000016,1
39,27.795238,24.027561,-3.7676770000000026,1
40,28.598321,24.655249,-3.9430719999999972,1
41,31.379254,24.665333,-6.713920999999999,1
42,36.320331,23.794169,-12.526162000000003,1
43,47.490964,29.555749,-17.935215,2
44,41.333421,25.301807,-16.031614,1
45,34.99779,23.198419,-11.799371,1
46,28.759214,24.436558,-4.3226559999999985,1
47,23.398448,20.460381,-2.9380669999999967,1
48,21.023575,17.995929,-3.0276460000000007,1
49,20.734387,18.53924,-2.195147000000002,1
50,19.854295,18.049904,-1.804390999999999,1
51,19.975892,17.839098,-2.136794000000002,1
52,21.341424,19.997267,-1.3441569999999992,1
53,25.479204,20.731836,-4.747367999999998,1
54,35.726937,23.127202,-12.599734999999999,1
55,40.757628,23.761686,-16.995941999999996,1
56,33.974028,42.246949,8.272921000000004,1
57,32.309309,26.875024,-5.434284999999999,1
58,28.634558,343.699154,315.06459600000005,1
59,26.963131,26.62766,-0.33547100000000185,1
60,24.518348,67.464693,42.946344999999994,1
61,23.435607,21.063121,-2.372486000000002,1
62,22.517945,21.955055,-0.5628899999999994,1
63,21.924216,23.24869,1.3244739999999986,1
64,21.973045,22.279802,0.30675700000000106,1
65,22.163444,19.102205,-3.061238999999997,1
66,24.215191,21.059624,-3.1555670000000013,1
67,29.138988,21.946469,-7.192519000000001,1
68,28.860642,23.964565,-4.896076999999998,1
69,23.324356,19.929691,-3.3946650000000034,1
70,19.440342,17.871494,-1.5688480000000027,1
71,17.489507,16.60687,-0.882636999999999,0
72,17.560828,16.612268,-0.9485600000000005,0
73,17.053983,16.600573,-0.4534099999999981,0
74,16.422553,16.429819,0.007265999999997774,0
75,16.288452,15.723498,-0.5649540000000002,0
76,16.956925,15.826391,-1.130533999999999,0
77,18.517334,16.777201,-1.7401330000000002,1
78,25.758949,20.147086,-5.611863,1
79,28.262557,21.721538,-6.541019000000002,1
80,27.569066,22.5412,-5.0278659999999995,1
81,28.182392,28.135985,-0.04640699999999853,1
82,28.345874,39.142229,10.796355000000002,1
83,27.502709,25.782378,-1.720330999999998,1
84,25.354212,27.015739,1.6615269999999995,1
85,24.682105,28.673647,3.991541999999999,1
86,22.805171,23.10829,0.3031189999999988,1
87,22.45376,22.105723,-0.34803699999999793,1
88,22.584855,23.368057,0.7832019999999993,1
89,22.660969,24.402256,1.7412869999999998,1
90,24.43223,21.536027,-2.896203,1
91,28.483739,22.149852,-6.333887000000001,1
92,27.064146,23.975879,-3.088267000000002,1
93,23.040094,22.734276,-0.3058179999999986,1
94,20.16954,21.671202,1.5016619999999996,1
95,18.136411,18.148978,0.012567000000000661,0
96,19.989166,18.970845,-1.0183210000000003,1
97,19.361229,21.375557,2.014327999999999,1
98,18.831775,18.634336,-0.19743899999999925,1
99,19.015614,19.189205,0.17359100000000183,1
100,19.889546,21.225982,1.336435999999999,1
101,23.661519,22.279204,-1.3823149999999984,1
102,33.817275,39.89855,6.081274999999998,1
103,38.135355,45.524195,7.388840000000002,1
104,36.759176,133.68408,96.924904,1
105,34.861188,55.842867,20.981679,1
106,35.899999,28.505274,-7.394725000000001,1
107,33.78113,54.333612,20.552482000000005,1
108,30.977904,25.888838,-5.089065999999999,1
109,26.559857,24.756831,-1.8030260000000027,1
110,25.634813,25.592143,-0.042670000000001096,1
111,24.855768,20.635155,-4.220613,1
