dap,target,,
65676,65189.236,,
69094,68354.283,,
72218,71466.091,,
74131,73526.335,,
75264,74655.331,,
75857,75149.389,,
75614,74864.127,,
75138,74453.001,,
74965,74420.71,,
75676,75254.775,,
77867,76893.143,,
79342,77998.835,,
80302,79286.681,,
81472,80462.16,,
78623,78484.294,,
75635,75336.247,,
72224,72018.926,,
70577,69753.595,,
69021,68580.698,,
69034,68534.425,,
69451,69039.373,,
71413,71351.637,,
76187,75898.101,,
83850,83465.544,,
89610,88839.417,,
90547,89826.143,,
88983,88343.1,,
87110,86508.912,,
85000,84481.625,,
83316,82736.821,,
81944,81239.148,,
80121,79338.142,,
78703,77997.951,,
78344,77798.415,,
79389,78602.31,,
82479,79821.06,,
82426,82128.922,,
85712,84661.639,,
83067,82913.622,,
79642,79245.33,,
75525,75650.242,,
73662,73087.612,,
72225,71690.918,,
71632,71188.599,,
71865,71603.858,,
74640,73798.983,,
78641,78181.124,,
85877,85238.291,,
90195,89410.18,,
89010,88240.968,,
85931,85144.385,,
83656,82728.486,,
81576,80905.381,,
80219,79742.108,,
79268,78644.774,,
78340,77559.226,,
77564,76995.066,,
77782,77228.222,,
78727,78285.059,,
80677,79191.758,,
81830,81083.732,,
83638,82785.676,,
80701,80233.644,,
76499,75703.653,,
72253,71200.932,,
68420,67925.732,,
66398,66010.017,,
65493,65000.631,,
65137,64782.147,,
66798,65949.984,,
69742,69874.618,,
76200,75766.894,,
80629,80045.573,,
82679,81945.981,,
83242,82749.23,,
83778,83365.795,,
84049,83541.576,,
84341,83763.486,,
83868,83662.043,,
83931,83225.722,,
83074,82587.06,,
83406,82750.559,,
84238,83642.936,,
84751,84155.085,,
85885,85081.547,,
85991,85521.854,,
83823,82984.419,,
79700,78961.33,,
75001,74807.417,,
72673,72232.022,,
71120,70236.642,,
70100,69624.86,,
70494,70116.873,,
72398,71785.45,,
76886,76343.866,,
83549,83301.407,,
89557,88789.644,,
91884,91086.655,,
92210,91559.663,,
92237,91457.899,,
91513,90829.369,,
90261,89627.957,,
88877,88469.591,,
87841,87233.663,,
87355,86771.922,,
87813,87221.914,,
88935,88470.624,,
91213,89821.193,,
93532,92257.956,,
94913,94497.012,,
92730,92758.634,,
88778,89059.21,,
84998,85155.639,,
82429,82332.389,,
81481,81075.544,,
81497,80676.493,,
82303,81234.217,,
84751,83024.665,,
89741,86944.707,,
96658,92610.902,,
101176,96073.859,,
101030,95586.761,,
98909,93730.323,,
92819,92204.589,,
91164,90252.438,,
88770,87929.233,,
86419,85699.952,,
84104,83441.999,,
82009,81294.114,,
81196,80564.431,,
82446,81064.741,,
83842,82473.693,,
86878,85381.843,,
88993,88514.704,,
88875,87786.767,,
86317,85522.549,,
83327,82580.777,,
81080,80318.449,,
80314,79018.789,,
79459,78727.471,,
79744,79119.565,,
80822,80295.648,,
83024,82382.567,,
86278,85564.641,,
88502,87902.312,,
88006,87178.05,,
85462,84667.448,,
83187,81587.071,,
79519,78937.233,,
76846,76159.618,,
74192,73520.415,,
72357,71330.659,,
70669,69990.178,,
70512,69927.491,,
72054,71299.204,,
73701,73030.96,,
76084,75579.146,,
79314,78453.917,,
78718,78111.231,,
76576,75841.4,,
73636,72834.593,,
71024,70259.795,,
69081,68403.425,,
68533,67735.651,,
68091,67335.661,,
68391,67838.801,,
69493,69213.225,,
71977,71508.258,,
74089,73446.727,,
75797,74782.479,,
75341,73975.978,,
72703,71849.965,,
70847,69899.992,,
69018,68497.222,,
67603,67029.965,,
66762,65955.816,,
66133,65664.334,,
66840,66047.206,,
67748,67190.466,,
69245,68610.926,,
70882,70535.251,,
74264,73499.343,,
73310,72462.171,,
70442,69609.568,,
67257,66418.392,,
64754,63983.276,,
63642,62899.842,,
63594,62732.206,,
63966,63311.747,,
65919,65294.144,,
70106,69767.283,,
76758,76236.692,,
81378,80730.696,,
82052,81551.92,,
81352,80635.189,,
80754,79980.135,,
79832,79252.905,,
79000,78686.2,,
78844,78412.273,,
78406,77765.523,,
78107,77517.799,,
78474,77930.128,,
79526,79002.233,,
80358,79823.306,,
81401,81184.76,,
83582,82554.047,,
80862,79856.851,,
76626,75224.064,,
71443,70608.158,,
67635,67025.095,,
65433,64909.208,,
64526,63990.414,,
64198,63711.616,,
