,dap,class,
1496,65091,0,","
1497,67005,0,","
1498,68106,0,","
1499,69608,0,","
1500,70433,0,","
1501,70731,0,","
1502,71182,0,","
1503,71714,1,","
1504,72883,1,","
1505,75980,1,","
1506,76673,1,","
1507,76913,1,","
1508,77803,1,","
1509,75470,1,","
1510,71871,1,","
1511,67610,0,","
1512,64585,0,","
1513,62634,0,","
1514,61846,0,","
1515,61656,0,","
1516,62679,0,","
1517,66401,0,","
1518,71778,1,","
1519,76736,1,","
1520,78491,1,","
1521,79396,1,","
1522,80761,1,","
1523,82037,1,","
1524,82926,1,","
1525,83735,1,","
1526,84256,1,","
1527,84617,1,","
1528,85411,1,","
1529,85806,1,","
1530,85316,1,","
1531,85306,1,","
1532,85991,1,","
1533,83258,1,","
1534,77727,1,","
1535,72653,1,","
1536,68186,0,","
1537,65419,0,","
1538,63648,0,","
1539,63826,0,","
1540,64767,0,","
1541,68309,0,","
1542,74018,1,","
1543,78542,1,","
1544,79112,1,","
1545,81796,1,","
1546,83347,1,","
1547,83900,1,","
1548,85302,1,","
1549,87481,1,","
1550,89251,1,","
1551,90191,1,","
1552,91363,1,","
1553,92411,1,","
1554,91310,1,","
1555,91359,1,","
1556,91618,1,","
1557,88275,1,","
1558,82270,1,","
1559,77431,1,","
1560,71771,1,","
1561,68653,0,","
1562,66256,0,","
1563,65491,0,","
1564,65818,0,","
1565,68976,0,","
1566,74502,1,","
1567,78980,1,","
1568,81952,1,","
1569,84107,1,","
1570,86974,1,","
1571,89987,1,","
1572,92970,1,","
1573,95512,1,","
1574,98184,1,","
1575,100957,1,","
1576,102786,1,","
1577,103738,1,","
1578,103335,1,","
1579,102081,1,","
1580,100833,1,","
1581,96324,1,","
1582,89154,1,","
1583,83142,1,","
1584,75669,1,","
1585,71789,1,","
1586,69612,0,","
1587,68489,0,","
1588,68855,0,","
1589,71079,0,","
1590,76250,1,","
1591,81024,1,","
1592,83754,1,","
1593,87661,1,","
1594,91795,1,","
1595,95588,1,","
1596,99439,1,","
1597,103159,1,","
1598,106117,1,","
1599,108117,1,","
1600,109638,1,","
1601,110000,1,","
1602,108625,1,","
1603,105609,1,","
1604,102595,1,","
1605,97245,1,","
1606,89317,1,","
1607,83058,1,","
1608,76994,1,","
1609,72968,1,","
1610,70057,0,","
1611,68676,0,","
1612,67875,0,","
1613,70657,0,","
1614,75572,1,","
1615,80221,1,","
1616,83031,1,","
1617,86648,1,","
1618,90685,1,","
1619,94503,1,","
1620,98156,1,","
1621,101572,1,","
1622,104221,1,","
1623,107056,1,","
1624,109373,1,","
1625,109421,1,","
1626,107578,1,","
1627,104590,1,","
1628,101429,1,","
1629,96414,1,","
1630,90157,1,","
1631,82869,1,","
1632,76515,1,","
1633,72397,1,","
1634,69540,0,","
1635,68014,0,","
1636,67194,0,","
1637,67693,0,","
1638,68586,0,","
1639,71798,1,","
1640,76617,1,","
1641,81827,1,","
1642,87109,1,","
1643,91842,1,","
1644,95929,1,","
1645,100258,1,","
1646,104210,1,","
1647,107384,1,","
1648,109246,1,","
1649,110024,1,","
1650,107820,1,","
1651,105504,1,","
1652,101761,1,","
1653,98189,1,","
1654,92172,1,","
1655,85325,1,","
1656,79798,1,","
1657,75511,1,","
1658,72859,1,","
1659,70087,0,","
1660,68988,0,","
1661,68823,0,","
1662,69495,0,","
1663,71875,1,","
1664,75918,1,","
1665,81882,1,","
1666,89031,1,","
1667,95355,1,","
1668,101116,1,","
1669,105876,1,","
1670,109696,1,","
1671,112982,2,","
1672,115423,2,","
1673,115586,2,","
1674,114338,2,","
1675,111744,2,","
1676,108901,1,","
1677,105375,1,","
1678,98047,1,","
1679,90874,1,","
1680,82486,1,","
1681,78319,1,","
1682,75627,1,","
1683,74038,1,","
1684,74115,1,","
1685,76570,1,","
1686,81933,1,","
1687,85235,1,","
1688,88525,1,","
1689,91475,1,","
1690,94401,1,","
1691,96496,1,","
1692,99330,1,","
1693,101349,1,","
1694,102647,1,","
1695,103616,1,","
1696,103734,1,","
1697,103459,1,","
1698,102568,1,","
1699,101335,1,","
1700,99527,1,","
1701,95944,1,","
1702,90080,1,","
1703,83810,1,","
1704,77226,1,","
1705,72663,1,","
1706,70672,0,","
1707,69701,0,","
1708,70386,0,","
1709,73567,1,","
1710,79109,1,","
1711,82860,1,","
1712,86464,1,","
1713,89704,1,","
1714,93905,1,","
1715,97064,1,","
1716,99906,1,","
1717,103391,1,","
1718,105920,1,","
1719,108674,1,","
1720,109720,1,","
1721,110876,2,","
1722,109576,1,","
1723,109131,1,","
1724,106382,1,","
1725,101163,1,","
1726,93750,1,","
1727,86368,1,","
1728,80857,1,","
1729,76484,1,","
1730,74797,1,","
1731,73233,1,","
1732,73803,1,","
1733,76367,1,","
1734,81252,1,","
1735,86306,1,","
1736,91166,1,","
1737,96324,1,","
1738,99962,1,","
1739,104998,1,","
1740,109218,1,","
1741,113649,2,","
1742,115467,2,","
1743,117802,2,","
1744,118949,2,","
1745,120048,2,","
1746,116434,2,","
1747,112471,2,","
1748,108733,1,","
1749,102247,1,","
1750,94383,1,","
1751,86580,1,","
1752,79539,1,","
1753,75582,1,","
1754,75015,1,","
1755,72798,1,","
1756,73095,1,","
1757,75414,1,","
1758,80147,1,","
1759,84768,1,","
1760,87613,1,","
1761,90537,1,","
1762,94425,1,","
1763,96924,1,","
1764,99953,1,","
1765,102644,1,","
1766,104501,1,","
1767,105896,1,","
1768,107004,1,","
1769,107093,1,","
1770,106047,1,","
1771,103865,1,","
1772,100485,1,","
1773,95382,1,","
1774,89055,1,","
1775,82221,1,","
1776,76324,1,","
1777,72889,1,","
1778,70419,0,","
1779,68778,0,","
1780,68920,0,","
1781,71636,1,","
1782,76425,1,","
1783,80439,1,","
1784,82823,1,","
1785,84993,1,","
1786,87193,1,","
1787,88520,1,","
1788,89804,1,","
1789,91365,1,","
1790,91663,1,","
1791,91574,1,","
1792,90543,1,","
1793,89875,1,","
1794,87573,1,","
1795,86335,1,","
1796,84473,1,","
1797,82366,1,","
1798,78006,1,","
1799,73230,1,","
1800,68369,0,","
1801,65385,0,","
1802,64431,0,","
1803,62553,0,","
1804,62605,0,","
1805,63593,0,","
1806,64593,0,","
1807,67084,0,","
1808,70247,0,","
1809,72379,1,","
1810,74423,1,","
1811,74708,1,","
1812,75258,1,","
1813,75060,1,","
1814,74468,1,","
1815,73981,1,","
1816,74169,1,","
1817,74384,1,","
1818,74738,1,","
1819,74794,1,","
1820,74914,1,","
1821,74684,1,","
1822,72084,1,","
1823,67985,0,","
1824,63934,0,","
1825,61985,0,","
1826,61568,0,","
1827,61081,0,","
1828,61010,0,","
1829,61537,0,","
1830,62239,0,","
1831,63984,0,","
1832,67010,0,","
1833,69992,0,","
1834,71652,1,","
1835,72410,1,","
1836,72325,1,","
1837,72535,1,","
1838,71788,1,","
1839,71849,1,","
1840,72232,1,","
1841,73403,1,","
1842,73480,1,","
1843,74594,1,","
1844,75724,1,","
1845,75046,1,","
1846,72340,1,","
1847,68161,0,","
1848,64549,0,","
1849,62120,0,","
1850,60430,0,","
1851,59791,0,","
1852,59884,0,","
1853,60459,0,","
1854,61063,0,","
1855,63280,0,","
1856,65807,0,","
1857,67238,0,","
1858,68245,0,","
1859,69463,0,","
1860,70258,0,","
1861,70405,0,","
1862,70345,0,","
1863,71058,0,","
1864,72478,1,","
1865,74165,1,","
1866,75420,1,","
1867,75977,1,","
1868,77183,1,","
1869,76424,1,","
1870,72456,1,","
1871,67918,0,","
1872,65315,0,","
1873,62765,0,","
1874,60503,0,","
1875,59799,0,","
1876,61046,0,","
1877,64298,0,","
1878,69033,0,","
1879,73193,1,","
1880,76439,1,","
1881,78886,1,","
1882,80687,1,","
1883,82785,1,","
1884,85047,1,","
1885,87156,1,","
1886,88427,1,","
1887,89960,1,","
1888,91046,1,","
1889,91696,1,","
1890,91581,1,","
1891,89678,1,","
1892,89033,1,","
1893,87187,1,","
1894,81282,1,","
1895,74592,1,","
1896,69595,0,","
1897,66552,0,","
1898,65335,0,","
1899,64654,0,","
1900,65570,0,","
1901,68239,0,","
1902,72604,1,","
1903,77448,1,","
1904,80635,1,","
1905,82750,1,","
1906,84722,1,","
1907,87379,1,","
1908,89442,1,","
1909,91252,1,","
1910,92779,1,","
1911,93428,1,","
1912,95683,1,","
1913,95711,1,","
1914,94704,1,","
1915,92216,1,","
1916,90314,1,","
1917,87992,1,","
1918,82299,1,","
1919,76655,1,","
1920,71498,1,","
1921,68319,0,","
1922,67189,0,","
1923,66708,0,","
1924,67404,0,","
1925,70303,0,","
1926,75477,1,","
1927,80365,1,","
1928,84016,1,","
1929,86824,1,","
1930,90101,1,","
1931,91869,1,","
1932,93962,1,","
1933,96856,1,","
1934,98407,1,","
1935,100117,1,","
1936,101428,1,","
1937,101636,1,","
1938,100391,1,","
1939,97695,1,","
1940,95560,1,","
1941,93362,1,","
1942,87130,1,","
1943,80139,1,","
1944,76884,1,","
1945,72799,1,","
1946,70864,0,","
1947,69548,0,","
1948,70734,0,","
1949,73297,1,","
1950,77926,1,","
1951,83602,1,","
1952,87293,1,","
1953,91144,1,","
1954,94945,1,","
1955,98063,1,","
1956,101395,1,","
1957,104152,1,","
1958,106426,1,","
1959,108113,1,","
1960,110196,1,","
1961,110941,2,","
1962,108281,1,","
1963,105581,1,","
1964,102677,1,","
1965,99851,1,","
1966,93927,1,","
1967,86728,1,","
1968,80128,1,","
1969,75513,1,","
1970,72910,1,","
1971,70900,0,","
1972,69972,0,","
1973,70090,0,","
1974,71186,0,","
1975,73668,1,","
1976,78860,1,","
1977,85374,1,","
1978,92771,1,","
1979,99571,1,","
1980,104682,1,","
1981,111212,2,","
1982,114712,2,","
1983,117529,2,","
1984,120198,2,","
1985,121228,2,","
1986,118537,2,","
1987,114430,2,","
1988,112753,2,","
1989,107114,1,","
1990,100419,1,","
1991,93119,1,","
1992,86574,1,","
1993,80357,1,","
1994,77436,1,","
1995,74348,1,","
1996,72455,1,","
1997,72023,1,","
1998,72007,1,","
1999,74619,1,","
2000,80484,1,","
2001,88347,1,","
2002,96640,1,","
2003,104664,1,","
2004,112121,2,","
2005,117824,2,","
2006,121811,2,","
2007,123826,2,","
2008,125752,2,","
2009,126045,2,","
2010,123799,2,","
2011,120951,2,","
2012,118066,2,","
2013,113388,2,","
2014,105743,1,","
2015,98727,1,","
2016,89690,1,","
2017,86661,1,","
2018,83641,1,","
2019,82102,1,","
2020,81486,1,","
2021,84284,1,","
2022,88572,1,","
2023,94190,1,","
2024,100181,1,","
2025,107614,1,","
2026,114102,2,","
2027,120172,2,","
2028,125307,2,","
2029,129077,2,","
2030,131434,2,","
2031,132219,2,","
2032,132406,2,","
2033,131680,2,","
2034,128918,2,","
2035,125147,2,","
2036,122438,2,","
2037,116539,2,","
2038,107882,1,","
2039,101131,1,","
2040,91760,1,","
2041,86814,1,","
2042,85556,1,","
2043,83663,1,","
2044,83487,1,","
2045,86095,1,","
2046,91586,1,","
2047,96757,1,","
2048,102140,1,","
2049,107377,1,","
2050,112999,2,","
2051,117864,2,","
2052,122579,2,","
2053,126418,2,","
2054,129183,2,","
2055,130164,2,","
2056,129983,2,","
2057,128945,2,","
2058,126440,2,","
2059,122310,2,","
2060,119009,2,","
2061,113622,2,","
2062,105746,1,","
2063,97828,1,","
2064,90878,1,","
2065,86137,1,","
2066,82729,1,","
2067,80961,1,","
2068,80913,1,","
2069,83279,1,","
2070,87794,1,","
2071,92886,1,","
2072,97822,1,","
2073,102746,1,","
2074,111619,2,","
2075,116907,2,","
2076,121214,2,","
2077,124397,2,","
2078,126824,2,","
2079,128246,2,","
2080,128739,2,","
2081,127519,2,","
2082,124643,2,","
2083,120464,2,","
2084,116478,2,","
2085,111544,2,","
2086,103908,1,","
2087,95686,1,","
2088,88589,1,","
2089,83813,1,","
2090,80627,1,","
2091,78755,1,","
2092,78742,1,","
2093,81466,1,","
2094,87259,1,","
2095,92731,1,","
2096,97185,1,","
2097,101436,1,","
2098,107991,1,","
2099,112940,2,","
2100,118535,2,","
2101,121681,2,","
2102,123594,2,","
2103,124264,2,","
2104,124087,2,","
2105,123033,2,","
2106,121079,2,","
2107,117081,2,","
2108,113051,2,","
2109,108435,1,","
2110,101457,1,","
2111,93250,1,","
2112,86101,1,","
2113,81370,1,","
2114,78181,1,","
2115,76367,1,","
2116,76248,1,","
2117,78711,1,","
2118,83884,1,","
2119,88941,1,","
2120,93383,1,","
2121,97365,1,","
2122,101197,1,","
2123,104788,1,","
2124,107814,1,","
2125,110019,1,","
2126,111287,2,","
2127,111864,2,","
2128,111952,2,","
2129,111097,2,","
2130,107881,1,","
2131,105295,1,","
2132,102574,1,","
2133,99525,1,","
2134,93695,1,","
2135,87072,1,","
2136,78998,1,","
2137,74619,1,","
2138,71641,1,","
2139,69691,0,","
2140,68854,0,","
2141,69313,0,","
2142,70406,0,","
2143,73393,1,","
2144,78105,1,","
2145,83214,1,","
2146,88017,1,","
2147,92286,1,","
2148,95711,1,","
2149,98364,1,","
2150,100441,1,","
2151,102476,1,","
2152,104346,1,","
2153,105298,1,","
2154,104415,1,","
2155,101771,1,","
2156,98967,1,","
2157,96184,1,","
2158,90909,1,","
2159,84651,1,","
2160,77950,1,","
2161,73607,1,","
2162,70577,0,","
2163,68526,0,","
2164,67399,0,","
2165,67184,0,","
2166,67471,0,","
2167,69925,0,","
2168,74930,1,","
2169,80722,1,","
2170,86388,1,","
2171,91745,1,","
2172,96558,1,","
2173,100337,1,","
2174,103405,1,","
2175,106228,1,","
2176,108708,1,","
2177,110186,1,","
2178,109456,1,","
2179,107020,1,","
2180,104095,1,","
2181,100762,1,","
2182,94662,1,","
2183,87730,1,","
2184,79925,1,","
2185,75703,1,","
2186,72873,1,","
2187,71375,1,","
2188,71665,1,","
2189,74407,1,","
2190,79293,1,","
2191,85030,1,","
2192,90482,1,","
2193,95281,1,","
2194,100251,1,","
2195,104966,1,","
2196,109297,1,","
2197,113062,2,","
2198,115447,2,","
2199,117180,2,","
2200,118142,2,","
2201,118255,2,","
2202,116415,2,","
2203,112943,2,","
2204,109102,1,","
2205,104911,1,","
2206,97525,1,","
2207,89664,1,","
2208,80036,1,","
2209,75622,1,","
2210,72635,1,","
2211,71018,0,","
2212,71225,0,","
2213,73934,1,","
2214,78811,1,","
2215,84171,1,","
2216,88498,1,","
2217,92229,1,","
2218,95879,1,","
2219,99141,1,","
2220,101967,1,","
2221,104466,1,","
2222,106046,1,","
2223,107306,1,","
2224,108195,1,","
2225,108274,1,","
2226,106639,1,","
2227,103790,1,","
2228,100814,1,","
2229,97747,1,","
2230,91355,1,","
2231,84109,1,","
2232,75316,1,","
2233,71291,0,","
2234,68744,0,","
2235,67408,0,","
2236,67712,0,","
2237,70444,0,","
2238,75131,1,","
2239,80215,1,","
2240,84007,1,","
2241,87028,1,","
2242,89958,1,","
2243,92659,1,","
2244,95055,1,","
2245,97387,1,","
2246,99095,1,","
2247,100633,1,","
2248,101860,1,","
2249,102385,1,","
2250,101077,1,","
2251,98442,1,","
2252,95755,1,","
2253,93103,1,","
2254,87092,1,","
2255,80197,1,","
2256,73371,1,","
2257,69614,0,","
2258,67270,0,","
2259,66040,0,","
2260,66371,0,","
2261,68866,0,","
2262,73455,1,","
2263,77798,1,","
2264,81666,1,","
2265,84815,1,","
2266,88019,1,","
2267,91189,1,","
2268,93712,1,","
2269,96030,1,","
2270,98806,1,","
2271,101018,1,","
2272,104152,1,","
2273,106410,1,","
2274,108100,1,","
2275,106322,1,","
2276,102514,1,","
2277,99211,1,","
2278,92955,1,","
2279,85672,1,","
2280,78188,1,","
2281,73731,1,","
2282,71110,0,","
2283,69950,0,","
2284,70030,0,","
2285,71195,0,","
2286,75405,1,","
2287,81296,1,","
2288,86483,1,","
2289,89707,1,","
2290,95346,1,","
2291,99943,1,","
2292,105157,1,","
2293,107987,1,","
2294,109832,1,","
2295,112438,2,","
2296,115011,2,","
2297,116664,2,","
2298,115510,2,","
2299,111013,2,","
2300,107796,1,","
2301,104720,1,","
2302,97882,1,","
2303,90517,1,","
2304,85413,1,","
2305,80317,1,","
2306,76800,1,","
2307,74379,1,","
2308,73450,1,","
2309,73515,1,","
2310,74614,1,","
2311,78450,1,","
2312,84022,1,","
2313,90439,1,","
2314,95901,1,","
2315,101330,1,","
2316,103877,1,","
2317,107654,1,","
2318,110548,1,","
2319,111965,2,","
2320,113478,2,","
2321,113346,2,","
2322,111534,2,","
2323,108222,1,","
2324,105602,1,","
2325,102381,1,","
2326,96477,1,","
2327,90554,1,","
2328,84020,1,","
2329,79239,1,","
2330,75222,1,","
2331,73163,1,","
2332,71920,1,","
2333,70825,0,","
2334,71238,0,","
2335,74572,1,","
2336,79949,1,","
2337,86280,1,","
2338,94012,1,","
2339,101132,1,","
2340,107277,1,","
2341,111972,2,","
2342,115847,2,","
2343,118958,2,","
2344,120870,2,","
2345,122467,2,","
2346,121471,2,","
2347,117500,2,","
2348,114210,2,","
2349,109600,1,","
2350,102273,1,","
2351,95786,1,","
2352,89827,1,","
2353,85123,1,","
2354,83876,1,","
2355,81524,1,","
2356,81760,1,","
2357,83844,1,","
2358,88616,1,","
2359,95212,1,","
2360,101213,1,","
2361,106574,1,","
2362,112392,2,","
2363,118091,2,","
2364,122610,2,","
2365,124956,2,","
2366,127098,2,","
2367,127837,2,","
2368,127576,2,","
2369,126902,2,","
2370,124447,2,","
2371,120961,2,","
2372,116701,2,","
2373,111718,2,","
2374,104193,1,","
2375,96146,1,","
2376,81829,1,","
2377,77404,1,","
2378,74401,1,","
2379,72670,1,","
2380,72700,1,","
2381,75120,1,","
2382,79633,1,","
2383,84454,1,","
2384,89976,1,","
2385,92237,1,","
2386,93893,1,","
2387,95105,1,","
2388,95908,1,","
2389,96270,1,","
2390,96145,1,","
2391,95953,1,","
2392,95956,1,","
2393,95731,1,","
2394,94691,1,","
2395,92928,1,","
2396,90929,1,","
2397,88682,1,","
2398,83620,1,","
2399,77569,1,","
2400,71170,0,","
2401,67531,0,","
2402,65630,0,","
2403,64747,0,","
2404,65334,0,","
2405,68064,0,","
2406,72262,1,","
2407,77013,1,","
2408,80290,1,","
2409,82594,1,","
2410,84552,1,","
2411,86221,1,","
2412,88015,1,","
2413,89726,1,","
2414,91162,1,","
2415,92589,1,","
2416,94204,1,","
2417,95424,1,","
2418,95006,1,","
2419,93364,1,","
2420,91580,1,","
2421,89677,1,","
2422,84178,1,","
2423,77766,1,","
2424,72321,1,","
2425,68658,0,","
2426,66455,0,","
2427,65326,0,","
2428,65771,0,","
2429,68353,0,","
2430,72562,1,","
2431,77858,1,","
2432,82108,1,","
2433,85548,1,","
2434,88914,1,","
2435,92195,1,","
2436,95295,1,","
2437,98469,1,","
2438,100948,1,","
2439,103196,1,","
2440,105074,1,","
2441,106224,1,","
2442,105226,1,","
2443,102565,1,","
2444,99675,1,","
2445,97144,1,","
2446,91022,1,","
2447,83645,1,","
2448,79056,1,","
2449,74556,1,","
2450,71653,1,","
2451,70068,0,","
2452,70243,0,","
2453,72193,1,","
2454,76962,1,","
2455,82089,1,","
2456,86883,1,","
2457,91010,1,","
2458,94982,1,","
2459,98737,1,","
2460,101314,1,","
2461,104755,1,","
2462,107423,1,","
2463,109709,1,","
2464,111617,2,","
2465,112441,2,","
2466,109711,1,","
2467,106228,1,","
2468,102615,1,","
2469,100028,1,","
2470,94005,1,","
2471,87212,1,","
2472,83201,1,","
2473,78364,1,","
2474,75156,1,","
2475,72934,1,","
2476,71955,1,","
2477,72133,1,","
2478,75756,1,","
2479,79331,1,","
2480,85120,1,","
2481,91545,1,","
2482,97649,1,","
2483,103341,1,","
2484,107823,1,","
2485,111373,2,","
2486,114418,2,","
2487,116867,2,","
2488,118840,2,","
2489,119985,2,","
2490,117317,2,","
2491,113895,2,","
2492,110574,1,","
2493,107776,1,","
2494,102556,1,","
2495,95818,1,","
2496,88045,1,","
2497,83048,1,","
2498,79406,1,","
2499,76812,1,","
2500,75355,1,","
2501,74794,1,","
2502,76583,1,","
2503,78767,1,","
2504,84879,1,","
2505,92129,1,","
2506,101153,1,","
2507,107872,1,","
2508,114181,2,","
2509,118460,2,","
2510,121819,2,","
2511,124738,2,","
2512,126835,2,","
2513,128032,2,","
2514,127221,2,","
2515,123238,2,","
2516,118658,2,","
2517,114468,2,","
2518,107185,1,","
2519,98885,1,","
2520,92853,1,","
2521,87950,1,","
2522,84454,1,","
2523,82553,1,","
2524,82519,1,","
2525,84697,1,","
2526,89844,1,","
2527,96075,1,","
2528,103502,1,","
2529,110881,2,","
2530,118505,2,","
2531,125621,2,","
2532,133329,2,","
2533,137602,2,","
2534,140308,2,","
2535,142217,2,","
2536,143153,2,","
2537,142865,2,","
2538,140294,2,","
2539,135347,2,","
2540,130412,2,","
2541,124736,2,","
2542,116074,2,","
2543,106797,1,","
2544,98723,1,","
2545,93118,1,","
2546,88935,1,","
2547,86403,1,","
2548,85921,1,","
2549,88409,1,","
2550,95463,1,","
2551,101990,1,","
2552,109052,1,","
2553,116366,2,","
2554,123887,2,","
2555,131145,2,","
2556,138070,2,","
2557,142292,2,","
2558,145048,2,","
2559,146756,2,","
2560,147585,2,","
2561,147047,2,","
2562,144643,2,","
2563,139825,2,","
2564,134337,2,","
2565,128726,2,","
2566,119458,2,","
2567,109850,1,","
2568,102602,1,","
2569,96339,1,","
2570,92035,1,","
2571,89709,1,","
2572,89232,1,","
2573,91737,1,","
2574,96538,1,","
2575,102990,1,","
2576,110706,1,","
2577,116953,2,","
2578,124015,2,","
2579,130354,2,","
2580,136047,2,","
2581,139952,2,","
2582,142458,2,","
2583,143309,2,","
2584,143627,2,","
2585,142777,2,","
2586,140087,2,","
2587,135295,2,","
2588,130734,2,","
2589,125666,2,","
2590,117493,2,","
2591,107658,1,","
2592,99662,1,","
2593,94329,1,","
2594,90476,1,","
2595,88203,1,","
2596,86028,1,","
2597,88111,1,","
2598,92268,1,","
2599,97310,1,","
2600,101908,1,","
2601,106962,1,","
2602,110926,2,","
2603,115513,2,","
2604,118713,2,","
2605,120994,2,","
2606,119826,2,","
2607,119764,2,","
2608,117007,2,","
2609,114970,2,","
2610,113475,2,","
2611,110117,1,","
2612,106560,1,","
2613,102618,1,","
2614,96926,1,","
2615,90719,1,","
2616,83124,1,","
2617,78732,1,","
2618,77015,1,","
2619,75356,1,","
2620,75454,1,","
2621,77490,1,","
2622,81936,1,","
2623,86374,1,","
2624,90388,1,","
2625,92550,1,","
2626,94803,1,","
2627,96856,1,","
2628,98488,1,","
2629,100015,1,","
2630,101088,1,","
2631,102161,1,","
2632,102636,1,","
2633,102660,1,","
2634,101216,1,","
2635,98697,1,","
2636,95745,1,","
2637,92961,1,","
2638,88376,1,","
2639,82122,1,","
2640,75683,1,","
2641,71441,1,","
2642,68651,0,","
2643,66818,0,","
2644,66128,0,","
2645,66423,0,","
2646,67327,0,","
2647,70271,0,","
2648,74590,1,","
2649,78884,1,","
2650,82506,1,","
2651,85456,1,","
2652,87821,1,","
2653,89840,1,","
2654,91590,1,","
2655,93597,1,","
2656,95677,1,","
2657,97357,1,","
2658,97247,1,","
2659,95238,1,","
2660,92446,1,","
2661,90548,1,","
2662,86190,1,","
2663,80523,1,","
2664,75616,1,","
2665,71404,1,","
2666,68556,0,","
2667,66636,0,","
2668,65609,0,","
2669,65388,0,","
2670,65366,0,","
2671,67986,0,","
2672,73152,1,","
2673,79034,1,","
2674,84673,1,","
2675,90027,1,","
2676,94950,1,","
2677,98910,1,","
2678,102275,1,","
2679,105542,1,","
2680,108706,1,","
2681,111054,2,","
2682,111122,2,","
2683,108827,1,","
2684,105214,1,","
2685,102416,1,","
2686,96739,1,","
2687,89541,1,","
2688,83758,1,","
2689,78753,1,","
2690,75216,1,","
2691,72739,1,","
2692,71286,0,","
2693,70682,0,","
2694,70504,0,","
2695,73497,1,","
2696,79923,1,","
2697,87582,1,","
2698,95250,1,","
2699,102414,1,","
2700,108716,1,","
2701,113542,2,","
2702,117419,2,","
2703,120772,2,","
2704,123762,2,","
2705,125460,2,","
2706,124827,2,","
2707,121578,2,","
2708,117059,2,","
2709,113482,2,","
2710,106815,1,","
2711,98792,1,","
2712,94321,1,","
2713,88734,1,","
2714,84837,1,","
2715,82444,1,","
2716,82030,1,","
2717,84014,1,","
2718,88231,1,","
2719,94796,1,","
2720,102322,1,","
2721,110096,1,","
2722,118082,2,","
2723,125626,2,","
2724,132179,2,","
2725,137076,2,","
2726,140025,2,","
2727,142179,2,","
2728,143190,2,","
2729,143009,2,","
2730,140685,2,","
2731,135531,2,","
2732,129750,2,","
2733,124611,2,","
2734,116145,2,","
2735,106961,1,","
2736,98028,1,","
2737,92149,1,","
2738,88071,1,","
2739,85543,1,","
2740,87767,1,","
2741,89255,1,","
2742,93606,1,","
2743,99150,1,","
2744,106086,1,","
2745,114017,2,","
2746,121998,2,","
2747,129689,2,","
2748,135844,2,","
2749,140405,2,","
2750,142849,2,","
2751,143925,2,","
2752,144422,2,","
2753,143323,2,","
2754,140680,2,","
2755,135483,2,","
2756,129570,2,","
2757,124055,2,","
2758,115773,2,","
2759,106667,1,","
2760,98579,1,","
2761,92984,1,","
2762,89118,1,","
2763,86574,1,","
2764,85868,1,","
2765,87989,1,","
2766,91983,1,","
2767,97572,1,","
2768,102906,1,","
2769,107986,1,","
2770,111481,2,","
2771,116194,2,","
2772,120174,2,","
2773,123222,2,","
2774,124582,2,","
2775,124754,2,","
2776,124402,2,","
2777,123292,2,","
2778,120560,2,","
2779,116560,2,","
2780,112427,2,","
2781,108329,1,","
2782,101878,1,","
2783,94494,1,","
2784,87761,1,","
2785,83025,1,","
2786,79946,1,","
2787,78088,1,","
2788,78108,1,","
2789,80413,1,","
2790,84748,1,","
2791,90209,1,","
2792,95317,1,","
2793,99976,1,","
2794,104668,1,","
2795,108888,1,","
2796,112647,2,","
2797,115744,2,","
2798,117861,2,","
2799,119021,2,","
2800,119738,2,","
2801,119218,2,","
2802,116584,2,","
2803,112604,2,","
2804,108116,1,","
2805,104440,1,","
2806,98622,1,","
2807,91660,1,","
2808,83694,1,","
2809,78848,1,","
2810,75432,1,","
2811,73111,1,","
2812,71970,1,","
2813,71988,1,","
2814,72503,1,","
2815,75751,1,","
2816,80857,1,","
2817,86025,1,","
2818,90642,1,","
2819,94491,1,","
2820,97491,1,","
2821,99770,1,","
2822,101503,1,","
2823,103198,1,","
2824,104809,1,","
2825,105563,1,","
2826,104575,1,","
2827,101812,1,","
2828,98250,1,","
2829,95651,1,","
2830,90952,1,","
2831,85031,1,","
2832,80125,1,","
2833,75807,1,","
2834,72812,1,","
2835,70724,0,","
2836,69597,0,","
2837,69280,0,","
2838,69305,0,","
2839,72019,1,","
2840,77305,1,","
2841,83163,1,","
2842,88575,1,","
2843,93500,1,","
2844,97692,1,","
2845,100972,1,","
2846,103399,1,","
2847,105604,1,","
2848,107735,1,","
2849,109256,1,","
2850,108794,1,","
2851,106502,1,","
2852,103172,1,","
2853,100423,1,","
2854,95057,1,","
2855,88485,1,","
2856,84098,1,","
2857,79778,1,","
2858,77008,1,","
2859,75518,1,","
2860,75791,1,","
2861,78450,1,","
2862,82971,1,","
2863,89258,1,","
2864,95655,1,","
2865,101717,1,","
2866,107797,1,","
2867,113268,2,","
2868,118027,2,","
2869,121860,2,","
2870,124062,2,","
2871,125684,2,","
2872,126865,2,","
2873,127231,2,","
2874,125646,2,","
2875,122125,2,","
2876,117731,2,","
2877,113587,2,","
2878,106329,1,","
2879,98102,1,","
2880,91702,1,","
2881,86440,1,","
2882,82852,1,","
2883,80706,1,","
2884,80481,1,","
2885,82925,1,","
2886,87448,1,","
2887,93733,1,","
2888,100125,1,","
2889,106300,1,","
2890,112580,2,","
2891,118487,2,","
2892,123564,2,","
2893,127696,2,","
2894,130312,2,","
