,dap,class,
354,82479,1,","
355,82426,1,","
356,85712,1,","
357,83067,1,","
358,79642,1,","
359,75525,1,","
360,73662,1,","
361,72225,1,","
362,71632,1,","
363,71865,1,","
364,74640,1,","
365,78641,1,","
366,85877,1,","
367,90195,1,","
368,89010,1,","
369,85931,1,","
370,83656,1,","
371,81576,1,","
372,80219,1,","
373,79268,1,","
374,78340,1,","
375,77564,1,","
376,77782,1,","
377,78727,1,","
378,80677,1,","
379,81830,1,","
380,83638,1,","
381,80701,1,","
382,76499,1,","
383,72253,1,","
384,68420,0,","
385,66398,0,","
386,65493,0,","
387,65137,0,","
388,66798,0,","
389,69742,0,","
390,76200,1,","
391,80629,1,","
392,82679,1,","
393,83242,1,","
394,83778,1,","
395,84049,1,","
396,84341,1,","
397,83868,1,","
398,83931,1,","
399,83074,1,","
400,83406,1,","
401,84238,1,","
402,84751,1,","
403,85885,1,","
404,85991,1,","
405,83823,1,","
406,79700,1,","
407,75001,1,","
408,72673,1,","
409,71120,0,","
410,70100,0,","
411,70494,0,","
412,72398,1,","
413,76886,1,","
414,83549,1,","
415,89557,1,","
416,91884,1,","
417,92210,1,","
418,92237,1,","
419,91513,1,","
420,90261,1,","
421,88877,1,","
422,87841,1,","
423,87355,1,","
424,87813,1,","
425,88935,1,","
426,91213,1,","
427,93532,1,","
428,94913,1,","
429,92730,1,","
430,88778,1,","
431,84998,1,","
432,82429,1,","
433,81481,1,","
434,81497,1,","
435,82303,1,","
436,84751,1,","
437,89741,1,","
438,96658,1,","
439,101176,1,","
440,101030,1,","
441,98909,1,","
442,92819,1,","
443,91164,1,","
444,88770,1,","
445,86419,1,","
446,84104,1,","
447,82009,1,","
448,81196,1,","
449,82446,1,","
450,83842,1,","
451,86878,1,","
452,88993,1,","
453,88875,1,","
454,86317,1,","
455,83327,1,","
456,81080,1,","
457,80314,1,","
458,79459,1,","
459,79744,1,","
460,80822,1,","
461,83024,1,","
462,86278,1,","
463,88502,1,","
464,88006,1,","
465,85462,1,","
466,83187,1,","
467,79519,1,","
468,76846,1,","
469,74192,1,","
470,72357,1,","
471,70669,0,","
472,70512,0,","
473,72054,1,","
474,73701,1,","
475,76084,1,","
476,79314,1,","
477,78718,1,","
478,76576,1,","
479,73636,1,","
480,71024,0,","
481,69081,0,","
482,68533,0,","
483,68091,0,","
484,68391,0,","
485,69493,0,","
486,71977,1,","
487,74089,1,","
488,75797,1,","
489,75341,1,","
490,72703,1,","
491,70847,0,","
492,69018,0,","
493,67603,0,","
494,66762,0,","
495,66133,0,","
496,66840,0,","
497,67748,0,","
498,69245,0,","
499,70882,0,","
500,74264,1,","
501,73310,1,","
502,70442,0,","
503,67257,0,","
504,64754,0,","
505,63642,0,","
506,63594,0,","
507,63966,0,","
508,65919,0,","
509,70106,0,","
510,76758,1,","
511,81378,1,","
512,82052,1,","
513,81352,1,","
514,80754,1,","
515,79832,1,","
516,79000,1,","
517,78844,1,","
518,78406,1,","
519,78107,1,","
520,78474,1,","
521,79526,1,","
522,80358,1,","
523,81401,1,","
524,83582,1,","
525,80862,1,","
526,76626,1,","
527,71443,1,","
528,67635,0,","
529,65433,0,","
530,64526,0,","
531,64198,0,","
532,65391,0,","
533,69227,0,","
534,75798,1,","
535,80560,1,","
536,81706,1,","
537,81473,1,","
538,79955,1,","
539,79923,1,","
540,79913,1,","
541,80412,1,","
